Site name ,Date ,Pecos ,District ,Site-Type ,Size ,Lagomorphs ,Artiodactyls ,Turkey
LA 103919,Nambe,PII,TB,,,90,257,1
LA 4618,Mesita del Buey,LCP,PP,,,11,6,591
LA 4624,,ECP,PP,,,3,21,33
LA 12587-White Rock Tract (A-19),White Rock Tract (A-19),LCP,PP,,,29,17,43
LA 86534-Airport-South Tract (A-3),Airport-South Tract (A-3),MCP,PP,,,39,19,5
LA 135290-Airport-Central Tract (A-7),Airport-Central Tract (A-7),MCP,PP,,,7,4,6
Burnt Mesa Area 1-LA 60372,LA 60372,CP,PP,,,117,78,426
LA 6170,LA 6170,ED,TB,,,724,565,1
Pena Blanca-LA 265,LA 265,ED,TB,,,1326,549,10
Casa del Rito-LA 3852,LA 3852,CP,PP,,,8,8,0
Burnt Mesa Area 2-LA 60372,LA 60372,CP,PP,,,7,4,2
KP Site-LA 46300,LA 46300,LD,TB,,,,390,3
Saltbush-LA 4997,LA 4997 1175-1250,LD-ECP,PP,,,8,9,71
